Lokacja,Cena,Cena za m2,M2,Pokoje,Pietro
"Gdańsk Jasień, Potęgowska",499 000 zł,9940 zł/m2,50.2,3,1
"Gdańsk Ujeścisko, Dąbrówki",985 000 zł,10993 zł/m2,89.6,4,4
"Gdańsk Jasień, Rycerza Blizbora",625 000 zł,8216 zł/m2,76.07,4,4
"Gdańsk Długie Ogrody, Angielska Grobla",1 890 000 zł,19811 zł/m2,95.4,4,2
"Gdańsk Stare Przedmieście, Toruńska",1 470 000 zł,25345 zł/m2,58,3,1
"Gdynia Karwiny, Kazimierza Kruczkowskiego",649 000 zł,10285 zł/m2,63.1,4,1
"Gdynia Dąbrowa, Rdestowa",599 000 zł,11932 zł/m2,50.2,2,4
"Gdańsk Brzeźno, Ksawerego Dunikowskiego",539 000 zł,11596 zł/m2,46.48,2,parter
"Gdańsk Zakoniczyn, Jerzego Świrskiego",629 000 zł,9656 zł/m2,65.14,3,3
"Gdynia Wzgórze św. Maksymiliana, Władysława Iv",1 479 000 zł,22264 zł/m2,66.43,3,1
"Gdańsk Ujeścisko, Nieborowska",520 000 zł,9863 zł/m2,52.72,2,1
"Gdańsk Stogi, Jeremiasza Falck Polonusa",469 000 zł,8536 zł/m2,54.94,2,3
"Gdynia Leszczynki, Morska",495 000 zł,8918 zł/m2,55.5,3,parter
"Gdynia Wiczlino, Gen. Mariusza Zaruskiego",615 000 zł,10406 zł/m2,59.1,2,2
"Gdańsk Jasień, Potęgowska",379 000 zł,11081 zł/m2,34.2,2,parter
"Gdynia Grabówek, Marii Curie-Skłodowskiej",640 000 zł,10423 zł/m2,61.4,3,1
"Gdańsk Dolne Miasto, Łąkowa",1 854 000 zł,18000 zł/m2,103,4,1
"Gdańsk Zaspa, Startowa",590 000 zł,9577 zł/m2,61.6,3,3
"Gdynia Leszczynki, Morska",535 000 zł,8916 zł/m2,60,3,3
"Gdańsk Łostowice, Zbigniewa Podleckiego",599 000 zł,8948 zł/m2,66.94,3,1
"Gdańsk Łostowice, Ofiar Grudnia 70",699 000 zł,11590 zł/m2,60.31,3,4
"Gdynia Redłowo, Legionów",689 000 zł,14229 zł/m2,48.42,2,4
"Gdynia Wzgórze św. Maksymiliana, Kazimierza Górskiego",855 809 zł,11260 zł/m2,76,3,parter
"Gdynia Mały Kack, Kowieńska",399 000 zł,6498 zł/m2,61.4,3,parter
"Gdańsk Orunia, Turkusowa",415 000 zł,7830 zł/m2,53,3,1
"Gdańsk Łostowice, Świętokrzyska",669 000 zł,11148 zł/m2,60.01,3,2
"Gdańsk Osowa, Homera",610 000 zł,9918 zł/m2,61.5,3,2
"Sopot Dolny Sopot, Aleja Niepodległości",1 998 000 zł,25870 zł/m2,77.23,3,7
"Gdańsk Morena, Stanisława Lema",739 000 zł,13382 zł/m2,55.22,3,4
"Gdańsk Żabianka, Szyprów",599 000 zł,10599 zł/m2,56.51,3,1
"Gdańsk Śródmieście, Jana Dziewanowskiego",1 400 000 zł,16682 zł/m2,83.92,3,parter
"Gdańsk Śródmieście, Mariacka",923 800 zł,31000 zł/m2,29.8,2,2
"Gdańsk Jasień, Leszczynowa",510 000 zł,10408 zł/m2,49,2,3
"Gdańsk Żabianka, Wejhera 3",449 000 zł,10951 zł/m2,41,2,1
"Gdańsk Jasień, Jabłoniowa",475 000 zł,11713 zł/m2,40.55,2,5
"Gdańsk Wrzeszcz, Mariana Hemara",880 000 zł,22000 zł/m2,40,2,1
"Gdańsk Jasień, Potęgowska",550 000 zł,10991 zł/m2,50.04,2,1
"Gdańsk Siedlce, Szara",259 000 zł,7829 zł/m2,33.08,2,6
"Gdynia Działki Leśne, Pomorska",519 000 zł,13657 zł/m2,38,2,1
"Gdańsk Chełm, Nieborowska",520 000 zł,9863 zł/m2,52.72,2,1
"Gdańsk Jasień, Potęgowska",459 000 zł,11679 zł/m2,39.3,2,1
"Gdańsk Siedlce, Jacka Malczewskiego",975 000 zł,12968 zł/m2,75.18,3,parter
"Gdańsk Długie Ogrody, Angielska Grobla",1 290 000 zł,19904 zł/m2,64.81,4,4
"Gdańsk Przymorze, Czarny Dwór",1 590 000 zł,20641 zł/m2,77.03,3,1
"Gdańsk Konrada Guderskiego, 70B",490 000 zł,10515 zł/m2,46.6,2,2
"Gdańsk Wrzeszcz, Aldony",1 230 000 zł,12561 zł/m2,97.92,5,2
"Gdańsk Łostowice, Jana Kielasa",459 000 zł,9329 zł/m2,49.2,2,3
"Gdańsk Śródmieście, Podzamcze",474 000 zł,11981 zł/m2,39.56,2,1
"Gdańsk Przymorze, Obrońców Wybrzeża",530 000 zł,18888 zł/m2,28.06,1,2
"Gdańsk Śródmieście, Rzeźnicka",599 000 zł,12020 zł/m2,49.83,3,1
"Gdańsk Zakoniczyn, Konrada Guderskiego",629 000 zł,9984 zł/m2,63,3,parter
"Gdańsk Jasień, Kazimierza Leskiego",350 000 zł,11290 zł/m2,31,1,1
Gdańsk Łostowice,549 900 zł,8395 zł/m2,65.5,3,3
"Gdańsk Przymorze, Chłopska",320 000 zł,16842 zł/m2,19,1,1
"Gdańsk Wrzeszcz, Jaśkowa Dolina",1 335 000 zł,12136 zł/m2,110,8,2
"Gdańsk Łostowice, Olimpijska",469 000 zł,9974 zł/m2,47.02,2,2
"Gdańsk Oliwa, Artura Grottgera",3 111 840 zł,24000 zł/m2,129.66,4,parter
"Gdańsk Wrzeszcz, Jana Kilińskiego",699 000 zł,9985 zł/m2,70,3,6
"Gdańsk Stare Przedmieście, Podwale Przedmiejskie",859 000 zł,16744 zł/m2,51.3,2,2
"Gdańsk Wrzeszcz, Bohaterów Getta Warszawskiego",950 000 zł,9880 zł/m2,96.15,3,parter
"Gdańsk Łostowice, Kryształowa",350 000 zł,11228 zł/m2,31.17,1,4
"Gdańsk Suchanino, Karola Kurpińskiego",570 000 zł,8967 zł/m2,63.56,4,parter
"Gdańsk Śródmieście, Browarna",622 000 zł,16325 zł/m2,38.1,1,2
"Gdańsk Zaspa, Zbigniewa Burzyńskiego",520 000 zł,10788 zł/m2,48.2,2,4
"Gdańsk Przymorze, Kołobrzeska",569 000 zł,13232 zł/m2,43,2,3
"Gdańsk Wrzeszcz, Grunwaldzka",792 000 zł,11000 zł/m2,72,2,3
"Gdańsk Śródmieście, Długi Targ",890 000 zł,15949 zł/m2,55.8,3,2
"Gdańsk Siedlce, Seweryna Goszczyńskiego",870 000 zł,12824 zł/m2,67.84,3,parter
"Gdańsk Jasień, Potęgowska",779 000 zł,12171 zł/m2,64,3,3
"Gdańsk Morena, Franciszka Zabłockiego",679 000 zł,10676 zł/m2,63.6,3,1
"Gdańsk Wrzeszcz, Mikołaja Reja",439 000 zł,13262 zł/m2,33.1,2,2
"Gdynia Grabówek, Morska",299 000 zł,8794 zł/m2,34,1,1
"Gdańsk Jasień, Konrada Guderskiego",440 000 zł,10928 zł/m2,40.26,2,2
"Gdańsk Morena, Warneńska",675 000 zł,10786 zł/m2,62.58,3,3
"Gdańsk Wrzeszcz, Jana Kochanowskiego",1 180 000 zł,19765 zł/m2,59.7,4,6
"Gdańsk Przymorze, Lęborska",655 000 zł,20116 zł/m2,32.56,2,3
"Gdynia Śródmieście, Zgoda",699 000 zł,14481 zł/m2,48.27,2,1
"Gdańsk Jasień, Tadeusza Jasińskiego",525 000 zł,10375 zł/m2,50.6,2,parter
"Gdańsk Śródmieście, Podwale Przedmiejskie",749 000 zł,14796 zł/m2,50.62,2,3
"Gdańsk Morena, Myśliwskie Wzgórze",780 000 zł,11470 zł/m2,68,3,1
"Gdańsk Wrzeszcz, Jana Matejki",1 700 000 zł,9641 zł/m2,176.32,6,4
"Gdańsk Śródmieście, Głęboka",509 000 zł,11387 zł/m2,44.7,2,2
"Gdańsk Przymorze, Jagiellońska",627 000 zł,13630 zł/m2,46,2,3
"Gdańsk Śródmieście, Rybaki Dolne",470 000 zł,25852 zł/m2,18.18,1,4
"Gdańsk Wrzeszcz, Gen. Józefa Hallera",1 599 000 zł,21937 zł/m2,72.89,3,7
"Gdańsk Przymorze, Kołobrzeska",549 000 zł,11934 zł/m2,46,2,4
"Gdańsk Brzeźno, Ksawerego Dunikowskiego",769 000 zł,12816 zł/m2,60,3,4
"Gdańsk Wrzeszcz, Bolesława Chrobrego",1 900 000 zł,21167 zł/m2,89.76,3,1
"Gdańsk Śródmieście, Długie Ogrody",880 000 zł,13333 zł/m2,66,3,2
"Gdańsk Oliwa, Grunwaldzka",835 000 zł,10986 zł/m2,76,2,10
"Sopot Brodwino, Władysława Cieszyńskiego",610 000 zł,10166 zł/m2,60,4,9
"Sopot Kamienny Potok, Józefa Kraszewskiego",763 000 zł,14450 zł/m2,52.8,3,parter
"Gdańsk Jasień, Jabłoniowa",599 000 zł,10101 zł/m2,59.3,3,2
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",495 000 zł,10102 zł/m2,49,2,8
"Gdańsk Zaspa, Pilotów",449 000 zł,14483 zł/m2,31,2,12
"Gdańsk Przymorze, Olsztyńska",775 000 zł,17613 zł/m2,44,2,3
"Gdańsk Aniołki, Mariana Smoluchowskiego",2 199 000 zł,9049 zł/m2,243,5,1
"Gdynia Pogórze, Mieszkowskiego",385 000 zł,8020 zł/m2,48,2,1
"Gdańsk Jasień, Konrada Guderskiego",533 000 zł,8533 zł/m2,62.46,3,parter
"Gdańsk Matarnia - Rębiechowo, Mjr. Mieczysława Słabego",635 000 zł,8686 zł/m2,73.1,4,4
"Gdańsk Chełm, Tytusa Chałubińskiego",469 000 zł,9455 zł/m2,49.6,2,4
"Gdańsk Śródmieście, Jana Z Kolna",1 197 800 zł,15142 zł/m2,79.1,2,1
"Gdańsk Oliwa, Grunwaldzka",569 000 zł,10984 zł/m2,51.8,3,2
"Gdańsk Oliwa, Leśna",600 000 zł,18181 zł/m2,33,2,1
"Gdańsk Śródmieście, Angielska Grobla",2 100 000 zł,20970 zł/m2,100.14,6,8
"Gdańsk Zaspa, Konstantego Ciołkowskiego",560 000 zł,11618 zł/m2,48.2,2,1
"Gdańsk Śródmieście, Ogarna",869 000 zł,17242 zł/m2,50.4,2,3
"Gdańsk Wrzeszcz, Marii Konopnickiej",500 000 zł,9580 zł/m2,52.19,2,4
"Gdańsk Przymorze, Obrońców Wybrzeża",440 000 zł,11578 zł/m2,38,2,4
"Gdańsk Jasień, Rycerza Blizbora",570 000 zł,7894 zł/m2,72.2,3,1
"Gdańsk Jasień, Potęgowska",469 000 zł,11964 zł/m2,39.2,2,3
"Gdynia Chylonia, Wejherowska",781 000 zł,9297 zł/m2,84,4,2
"Gdańsk Morena, Królewskie Wzgórze",899 000 zł,13028 zł/m2,69,3,5
"Gdańsk Śródmieście, Św. Barbary",2 399 000 zł,22416 zł/m2,107.02,4,1
"Gdańsk Olszynka, Modra",1 495 000 zł,12458 zł/m2,120,4,5
"Gdynia Śródmieście, Wójta Radtkego",475 000 zł,10303 zł/m2,46.1,3,5
"Gdynia Leszczynki, Morska",499 000 zł,8816 zł/m2,56.6,2,4
"Gdańsk Śródmieście, Długie Ogrody",639 000 zł,13592 zł/m2,47.01,3,2
"Gdańsk Dolne Miasto, Jałmużnicza",595 000 zł,16081 zł/m2,37,2,1
"Gdańsk Oliwa, Obrońców Westerplatte",1 869 000 zł,28753 zł/m2,65,2,3
"Gdańsk Siedlce, Seweryna Goszczyńskiego",530 000 zł,10291 zł/m2,51.5,2,parter
"Gdańsk Wrzeszcz, Politechniczna",867 000 zł,9852 zł/m2,88,3,3
"Gdańsk Morena, Gen. Władysława Andersa",999 000 zł,15108 zł/m2,66.12,3,2
"Gdynia Obłuże, Adm. J. Unruga",479 000 zł,9123 zł/m2,52.5,3,parter
"Gdańsk Morena, Morenowe Wzgórze",873 000 zł,11991 zł/m2,72.8,3,4
"Gdynia Działki Leśne, Śląska",405 000 zł,12173 zł/m2,33.27,1,4
"Gdynia Cisowa, Stokowskiego Leopolda",475 000 zł,7916 zł/m2,60,3,1
"Gdańsk Siedlce, Kartuska",599 000 zł,11980 zł/m2,50,3,parter
Gdańsk Kowale,679 000 zł,10134 zł/m2,67,3,parter
"Gdańsk Jasień, Prof. Mariana Osińskiego",890 000 zł,12642 zł/m2,70.4,3,3
"Gdańsk Śródmieście, Długi Targ",890 000 zł,15949 zł/m2,55.8,2,2
"Gdańsk Śródmieście, Stajenna",659 000 zł,12436 zł/m2,52.99,1,1
"Gdańsk Wrzeszcz, Legionów",325 000 zł,14541 zł/m2,22.35,3,2
"Gdańsk Wrzeszcz , Partyzantów",690 000 zł,10198 zł/m2,67.66,2,2
"Gdańsk Jasień, Morelowa",455 000 zł,10044 zł/m2,45.3,2,2
"Gdynia Działki Leśne, Warszawska",777 000 zł,11597 zł/m2,67,3,2
"Gdańsk Śródmieście, Św. Ducha",949 000 zł,14292 zł/m2,66.4,3,2
"Gdańsk Morena, Bronisława Czecha",595 000 zł,9916 zł/m2,60,5,4
"Gdańsk Jasień, Rycerza Blizbora",819 000 zł,7800 zł/m2,105,2,2
"Gdańsk Śródmieście, Angielska Grobla",629 000 zł,11154 zł/m2,56.39,2,1
"Gdańsk Wrzeszcz, Jana Kochanowskiego",410 000 zł,11081 zł/m2,37,1,4
"Gdynia Działki Leśne, Śląska",497 000 zł,10665 zł/m2,46.6,2,3
"Gdańsk Morena, Franciszka Rakoczego",480 000 zł,16000 zł/m2,30,2,parter
"Gdańsk Wrzeszcz, Gen. De Gaulle'a",469 000 zł,8984 zł/m2,52.2,2,1
"Gdynia Redłowo, Bohaterów Starówki Warszawskiej",540 000 zł,10266 zł/m2,52.6,2,5
"Gdańsk Stare Przedmieście, Jaglana",455 000 zł,16077 zł/m2,28.3,3,6
"Gdańsk Zaspa, Leszczyńskich",600 000 zł,12244 zł/m2,49,2,parter
"Gdańsk Jasień, Kazimierza Leskiego",339 000 zł,9970 zł/m2,34,4,1
"Gdynia Wiczlino, Stanisława Filipkowskiego",699 000 zł,10623 zł/m2,65.8,2,3
"Gdańsk Śródmieście, Toruńska",645 000 zł,16125 zł/m2,40,2,4
"Gdańsk Śródmieście, Mariacka",930 000 zł,24473 zł/m2,38,2,parter
"Gdańsk Jasień, Tadeusza Jasińskiego",385 000 zł,9140 zł/m2,42.12,2,5
"Gdańsk Wrzeszcz, Gen. Józefa Hallera",950 000 zł,18969 zł/m2,50.08,3,2
"Gdańsk Siedlce, Bystrzycka",920 000 zł,14129 zł/m2,65.11,2,4
"Gdańsk Przymorze, Kołobrzeska",529 000 zł,11729 zł/m2,45.1,2,parter
"Gdańsk VII Dwór, Chełmońskiego 5",459 980 zł,10900 zł/m2,42.2,3,7
"Gdańsk Przymorze, Szczecińska",969 000 zł,18234 zł/m2,53.14,3,parter
"Gdańsk Ujeścisko, Anny Jagiellonki",720 000 zł,10650 zł/m2,67.6,3,3
"Gdańsk Zakoniczyn, Konrada Guderskiego",529 000 zł,9943 zł/m2,53.2,4,3
"Gdańsk Śródmieście, Mariana Seredyńskiego",740 000 zł,7184 zł/m2,103,3,2
"Gdańsk Wrzeszcz, Jesionowa",599 000 zł,13222 zł/m2,45.3,3,3
"Gdańsk Morena, Janusza Kusocińskiego",499 000 zł,8372 zł/m2,59.6,3,parter
"Gdańsk Wrzeszcz, Bolesława Chrobrego",599 000 zł,10345 zł/m2,57.9,4,1
"Gdańsk Oliwa, Żubrowa",650 000 zł,12428 zł/m2,52.3,2,parter
"Gdańsk Zakoniczyn, Wieżycka",415 000 zł,9302 zł/m2,44.61,3,4
"Gdańsk Morena, Burgaska",520 000 zł,8482 zł/m2,61.3,3,3
"Gdańsk Oliwa, Grunwaldzka",863 000 zł,9084 zł/m2,95,2,1
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",499 000 zł,10572 zł/m2,47.2,3,parter
"Gdynia Kamienna Góra, Ignacego Krasickiego",685 000 zł,12275 zł/m2,55.8,3,3
"Sopot, Świemirowska",1 890 000 zł,25890 zł/m2,73,6,1
"Gdańsk Oliwa, Hołdu Pruskiego",1 150 000 zł,11057 zł/m2,104,2,7
"Gdańsk Morena, Henryka Arctowskiego",490 000 zł,10000 zł/m2,49,2,5
"Gdynia Chylonia, Rozewska",345 000 zł,9151 zł/m2,37.7,2,parter
"Gdańsk Jasień, Krzysztofa Komedy",485 000 zł,11814 zł/m2,41.05,3,1
"Gdańsk Chełm, Prof. Józefa Więckowskiego",569 000 zł,9420 zł/m2,60.4,2,3
"Gdańsk Śródmieście, Angielska Grobla",599 000 zł,11722 zł/m2,51.1,2,parter
"Gdańsk Jasień, Rycerza Blizbora",569 000 zł,10478 zł/m2,54.3,3,3
"Gdańsk Strzyża, Ks. Bernarda Sychty",515 000 zł,8867 zł/m2,58.08,3,parter
"Gdańsk Suchanino, Piotra Czajkowskiego",790 000 zł,10089 zł/m2,78.3,4,1
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",599 000 zł,9101 zł/m2,65.81,3,3
"Gdańsk Wrzeszcz, Adama Mickiewicza",925 000 zł,10953 zł/m2,84.45,4,5
Gdańsk Śródmieście,1 845 000 zł,19065 zł/m2,96.77,2,1
"Gdańsk Siedlce, Jana Chryzostoma Paska",638 000 zł,11000 zł/m2,58,4,5
"Gdańsk Wrzeszcz, Kliniczna",999 000 zł,11884 zł/m2,84.06,1,1
Gdańsk Jana Heweliusza,419 000 zł,17905 zł/m2,23.4,3,1
"Gdańsk Chełm, Nieborowska 9",598 000 zł,11053 zł/m2,54.1,3,1
Gdańsk Oliwa,544 000 zł,8989 zł/m2,60.52,3,8
Gdynia Chylonia,509 000 zł,8483 zł/m2,60,3,9
"Gdynia Leszczynki, Dantyszka",525 000 zł,9975 zł/m2,52.63,2,1
"Gdynia Śródmieście, Radtkego 45",625 000 zł,13086 zł/m2,47.76,3,3
"Gdańsk Śródmieście, Nowe Ogrody",650 000 zł,13888 zł/m2,46.8,1,parter
"Gdańsk Jasień, Konrada Guderskiego",335 000 zł,13137 zł/m2,25.5,1,parter
"Gdańsk Jasień, Jasieńska",439 000 zł,13104 zł/m2,33.5,3,7
"Gdańsk Wrzeszcz, Gen. Józefa Hallera",1 150 000 zł,17164 zł/m2,67,3,1
"Sopot Dolny Sopot, Bohaterów Monte Cassino",2 500 000 zł,25000 zł/m2,100,4,3
"Gdańsk Łostowice, Niepołomicka",493 196 zł,9450 zł/m2,52.19,2,2
"Gdańsk Dolne Miasto, Jałmużnicza",595 000 zł,16120 zł/m2,36.91,1,1
"Gdańsk Przymorze, Obrońców Wybrzeża",530 000 zł,18531 zł/m2,28.6,2,parter
"Gdańsk Stogi, Hoża",465 000 zł,11071 zł/m2,42,2,1
"Gdańsk Jasień, Potęgowska",569 000 zł,11289 zł/m2,50.4,2,3
"Gdańsk Wrzeszcz, Grunwaldzka",770 000 zł,11000 zł/m2,70,4,2
"Gdańsk Letnica, Letnicka",1 259 000 zł,13985 zł/m2,90.02,4,2
"Gdańsk Letnica, Letnicka",1 259 000 zł,13985 zł/m2,90.02,1,parter
"Gdańsk Stogi, Skiby",357 000 zł,12750 zł/m2,28,3,parter
"Gdynia Dąbrowa, Miętowa",720 000 zł,12000 zł/m2,60,3,parter
"Gdańsk Ujeścisko, Anny Jagiellonki",769 900 zł,11736 zł/m2,65.6,2,4
"Gdynia Chylonia, Ludwika Zamenhofa",359 000 zł,9300 zł/m2,38.6,1,7
"Gdańsk Przymorze, Obrońców Wybrzeża",360 000 zł,12000 zł/m2,30,1,8
"Gdańsk Przymorze, Jagiellońska",365 000 zł,19210 zł/m2,19,2,4
"Sopot Dolny Sopot, Niepodległości",619 000 zł,12137 zł/m2,51,4,4
"Gdańsk Strzyża, Michała Glinki",1 250 000 zł,11150 zł/m2,112.1,3,2
"Gdynia Oksywie, Gen. Marii Wittekówny",788 400 zł,10800 zł/m2,73,2,3
"Gdańsk Przymorze, Kołobrzeska",499 000 zł,11213 zł/m2,44.5,1,3
"Gdynia Śródmieście, Starowiejska",360 000 zł,15483 zł/m2,23.25,4,3
"Gdańsk Morena, Królewskie Wzgórze",979 000 zł,15970 zł/m2,61.3,3,7
"Gdańsk Przymorze, Śląska",719 000 zł,14380 zł/m2,50,3,2
"Gdańsk Zakoniczyn, Kazimierza Porębskiego",480 000 zł,9600 zł/m2,50,3,4
"Gdynia Pogórze, Kmdr. Bolesława Romanowskiego",509 000 zł,8079 zł/m2,63,2,1
"Gdańsk Oliwa, Opata Jacka Rybińskiego",490 000 zł,7777 zł/m2,63,2,3
"Gdańsk Śródmieście, Podwale Staromiejskie",749 000 zł,10532 zł/m2,71.11,2,4
"Gdańsk Przymorze, Obrońców Wybrzeża",470 000 zł,10217 zł/m2,46,3,parter
"Gdańsk Siedlce, Zakopiańska",880 000 zł,11000 zł/m2,80,3,parter
"Gdańsk Stogi, Hoża",520 000 zł,9454 zł/m2,55,3,2
"Gdańsk Siedlce, Jacka Malczewskiego",795 000 zł,11521 zł/m2,69,2,2
"Gdańsk Jasień, Potęgowska",435 000 zł,12428 zł/m2,35,3,2
"Gdynia Wzgórze Św. Maksymiliana, Gen. Józefa Hallera",895 000 zł,10794 zł/m2,82.91,2,1
"Gdańsk Jasień, Jabłoniowa",475 000 zł,11713 zł/m2,40.55,3,1
"Gdynia Wzgórze św. Maksymiliana, Gen. Jarosława Dąbrowskiego",778 000 zł,11816 zł/m2,65.84,2,parter
"Gdynia Witomino, Konwaliowa",439 000 zł,12436 zł/m2,35.3,1,2
"Gdańsk Łostowice, Hokejowa",349 000 zł,13960 zł/m2,25,2,2
"Gdańsk Św. Wojciech, Władysława Jagiełły",364 428 zł,10600 zł/m2,34.38,2,1
"Gdańsk Długie Ogrody, Sienna Grobla",881 100 zł,18000 zł/m2,48.95,2,4
"Gdynia Działki Leśne, Szczecińska",485 000 zł,11279 zł/m2,43,3,1
"Gdańsk Oliwa, Grunwaldzka",550 000 zł,9016 zł/m2,61,3,1
"Gdańsk Ujeścisko, Płocka",529 000 zł,9981 zł/m2,53,2,2
"Gdynia Oksywie, Nasypowa",470 000 zł,12476 zł/m2,37.67,2,4
"Gdynia Pustki Cisowskie, Wiklinowa",340 000 zł,7359 zł/m2,46.2,2,3
"Gdańsk Ujeścisko, Przemyska",538 000 zł,13121 zł/m2,41,2,2
"Gdańsk Zakoniczyn, Konrada Guderskiego",360 000 zł,10253 zł/m2,35.11,1,1
"Gdańsk Sobieszewo, Nadwiślańska",482 500 zł,17425 zł/m2,27.69,2,2
"Gdańsk Długie Ogrody, Siennicka",530 000 zł,9814 zł/m2,54,2,parter
"Gdańsk Zakoniczyn, Wieżycka",415 000 zł,9304 zł/m2,44.6,2,2
"Gdańsk Stogi, Wilhelma Stryjewskiego",399 000 zł,10500 zł/m2,38,4,3
"Gdańsk Długie Ogrody, Angielska Grobla",1 550 000 zł,18623 zł/m2,83.23,3,1
"Gdańsk Górki Zachodnie, Steczka",265 000 zł,3675 zł/m2,72.1,2,2
"Gdańsk Ujeścisko, Łańcucka",539 000 zł,12033 zł/m2,44.79,4,10
"Gdańsk Zaspa, Startowa",779 000 zł,12564 zł/m2,62,2,3
"Gdańsk Stogi, Hoża",363 000 zł,8581 zł/m2,42.3,3,parter
"Gdynia Wiczlino, Bpa Antanasa Baranauskasa",750 000 zł,11170 zł/m2,67.14,3,7
"Gdańsk Wrzeszcz, Konstantego Ciołkowskiego",629 000 zł,12836 zł/m2,49,1,parter
"Gdańsk Kowale, Ateny",299 700 zł,10692 zł/m2,28.03,3,1
"Gdańsk Jasień, Lawendowe Wzgórze",539 000 zł,11173 zł/m2,48.24,2,1
"Gdańsk Dolne Miasto, Kamienna Grobla",549 000 zł,10839 zł/m2,50.65,3,3
"Gdańsk Orunia, Diamentowa",460 000 zł,10222 zł/m2,45,2,parter
"Gdynia Dąbrowa, Kolendrowa",535 000 zł,8230 zł/m2,65,2,2
"Gdańsk Jasień, Aleksandry Gabrysiak",450 000 zł,10089 zł/m2,44.6,3,2
"Gdynia Obłuże, Płk. Stanisława Dąbka",459 000 zł,9000 zł/m2,51,1,1
"Gdańsk Stogi, Wilhelma Stryjewskiego",290 000 zł,11111 zł/m2,26.1,3,parter
"Gdańsk Jasień, Lawendowe Wzgórze",539 000 zł,11140 zł/m2,48.38,2,parter
"Gdańsk Dolne Miasto, Przyokopowa",539 000 zł,10888 zł/m2,49.5,3,3
"Gdańsk Jasień, Kartuska",510 000 zł,8121 zł/m2,62.8,1,parter
"Gdańsk Oliwa, Józefa Czyżewskiego",380 000 zł,13753 zł/m2,27.63,2,2
"Gdańsk Przymorze, Opolska",450 000 zł,10000 zł/m2,45,2,2
"Gdańsk Ujeścisko, Rogalińska",520 000 zł,10699 zł/m2,48.6,2,1
"Gdynia Śródmieście, Zgoda",498 000 zł,12450 zł/m2,40,4,6
Gdańsk Zaspa,895 000 zł,12482 zł/m2,71.7,1,9
"Gdańsk Oliwa, Wita Stwosza",399 000 zł,16625 zł/m2,24,3,2
Gdańsk Wrzeszcz,999 000 zł,14910 zł/m2,67,4,parter
"Gdańsk Jasień, Lawendowe Wzgórze",689 000 zł,10838 zł/m2,63.57,1,parter
"Gdańsk Wrzeszcz, Racławicka",375 000 zł,13489 zł/m2,27.8,2,parter
"Gdańsk Oliwa, Antoniego Abrahama",479 000 zł,11682 zł/m2,41,4,1
Gdynia Redłowo,999 999 zł,9999 zł/m2,100,2,3
"Gdynia Chylonia, Morska",389 000 zł,9898 zł/m2,39.3,3,1
"Gdańsk Długie Ogrody, Długie Ogrody",499 000 zł,9450 zł/m2,52.8,3,2
"Gdańsk Kowale, Zeusa",470 000 zł,7892 zł/m2,59.55,3,4
"Gdynia Grabówek, Falista",650 000 zł,14241 zł/m2,45.64,2,1
"Gdynia Wielki Kack, Bieszczadzka",449 000 zł,10695 zł/m2,41.98,3,parter
"Gdynia Śródmieście, Stefana Żeromskiego",549 000 zł,10319 zł/m2,53.2,2,2
Sopot Wyścigi / Karlikowo,850 000 zł,25000 zł/m2,34,2,4
"Gdynia Śródmieście, Węglowa",1 370 000 zł,27032 zł/m2,50.68,3,parter
"Gdańsk Morena, Dolne Migowo",671 000 zł,11689 zł/m2,57.4,4,4
"Gdańsk Brzeźno, Karola Chodkiewicza",599 000 zł,10585 zł/m2,56.59,3,3
"Gdynia Wielki Kack, Gryfa Pomorskiego",699 000 zł,9628 zł/m2,72.6,2,1
"Gdańsk Siedlce, Jacka Malczewskiego",499 000 zł,13735 zł/m2,36.33,3,15
"Gdańsk Letnica, Starowiejska",999 000 zł,17868 zł/m2,55.91,3,4
Gdańsk Długie Ogrody,527 000 zł,9777 zł/m2,53.9,2,7
"Gdańsk Letnica, Starowiejska",1 200 000 zł,21486 zł/m2,55.85,2,10
"Gdańsk Przymorze, Prezydenta Lecha Kaczyńskiego",999 000 zł,19349 zł/m2,51.63,2,4
"Gdańsk Jasień, Jabłoniowa 23",395 000 zł,12343 zł/m2,32,3,1
"Gdynia Chylonia, Chylońska",545 000 zł,9159 zł/m2,59.5,2,1
"Gdynia Obłuże, Stolarska",359 000 zł,9088 zł/m2,39.5,3,parter
"Gdynia Obłuże, Adm. J. Unruga",425 000 zł,8034 zł/m2,52.9,2,2
"Gdańsk Orunia, Żuławska",349 000 zł,9304 zł/m2,37.51,2,4
"Gdańsk Jasień, Stężycka",460 000 zł,10584 zł/m2,43.46,3,14
"Gdańsk Letnica, Starowiejska",1 200 000 zł,21436 zł/m2,55.98,3,parter
"Gdańsk Siedlce, Bystrzycka",955 000 zł,13717 zł/m2,69.62,3,4
"Gdańsk Zaspa, Janusza Meissnera 12",661 500 zł,10500 zł/m2,63,2,1
"Gdańsk Brzeźno, Ksawerego Dunikowskiego",545 000 zł,12434 zł/m2,43.83,3,3
"Gdańsk Jasień, Bażantowa",759 000 zł,10946 zł/m2,69.34,4,1
"Gdynia Mały Kack, Lidzka",749 000 zł,4323 zł/m2,173.22,3,1
